rating,date,reviews,feedback
5,30-Jul-18,Love that you can use your cell phone to call Echo or Dot. You can also use Echo and Dot as intercoms.,1
4,31-Jul-18,I like how it will connect to bluetooth without an adapter like the Google. Only reason for 4 stars is volume level without external speaker. Easy to use.,1
3,30-Jul-18,"The sound quality wasn’t great, but it was inexpensive",1
4,27-Jun-18,"I love my Alexa Dot. I play games with my son, ask how the weather Is and I love that she works with my Amazon Fire Tv.",1
5,30-Jul-18,Extremely easy to use! Switched away from directv and use it to stream T.V.,1
5,07-Jul-18,A great buy,1
4,29-Jul-18,The ase of participating with Echo,1
5,30-Jul-18,I have an echo but wanted a dot for my bedroom. It was even easier to set up than my original echo.,1
5,28-Jul-18,Home,1
5,30-Jul-18,The Echo Dot was everything that I expected and more.,1
5,30-Jul-18,Love being able to listen to music easily. Still learning all the features available,1
5,28-Jul-18,"I haven't had it very long, but so far our whole family is enjoying asking Alexa questions!",1
4,29-Jul-18,Like it to do more,1
5,30-Jul-18,Easy to hook up.  Wish I knew all its capabilities,1
5,28-Jul-18,I love it!  I wanted it primarily for the kitchen.  In addition to other common services I wanted it to use ALLRecipes and Cook's Illustrated recipes,1
4,30-Jul-18, ,1
5,28-Jul-18,Bought this on Prime day,1
4,30-Jul-18,I just this for listening to talk radio in the morning and turning lights on and off etc. The system does an excellent job as a full house sound system streaming Sirius.,1
5,30-Jul-18,It does what it's suppose to do great product.,1
5,28-Jul-18,From such a small speaker it sounds great,1
5,30-Jul-18,Love it l. I plan on getting an echo for the kitchen.,1
5,29-Jul-18,Bought this for my daughter when she turned 9.  She loves it!!  I especially like the calling feature since she doesn’t have a cell phone.  She loves playing music and dancing and with Amazon music she can play all her favorite songs ...... sometimes over and over and over again lol!,1
5,28-Jul-18,I have been waiting for the Echo Show to go on sale and it was worth the wait. It was easy to set up and start using,1
5,29-Jul-18,great sound,1
4,28-Jul-18,It is great. But it would be better there was a way to use headphones with it.,1
3,30-Jul-18,"The Echo Show is ok, however the constant suggestions about what to ask Alexa are sooooo annoying and there is no way to eliminate it. Also, I thought I could have the weather for an area displayed continuously,  but I have to talk to Alexa, which I don't want to do in the middle of the night. Had I payed full price it would have been returned. There are other features that are nice, but I may never use them.",1
5,17-Jul-18,Great product and Prime Day price! Took a while to figure out how to connect to my wireless network and the other Echo devices in my home. This came with a Philips smart bulb. It's better than having a clapper! I found instructions online to 'wake to music & philips light'. Very easy to set it up with the instructions. You even have an option of what song you want to wake up to!,1
5,29-Jul-18,"I have the original Alexa and the Tap and so far the 2nd generation is the best. I'm happy to see they are making improvements with each new one.It would be great to have updates to our little A.I.'s, I think it would help out a lot with the bugs in it. All in all I am very happy with her and I can now play music throughout the whole house and adjust the bass and treble. Thank you",1
5,30-Jul-18,Love all the options with the fire tv stick!Works great!,1
5,28-Jul-18,Love the echo show. The video quality is good and of course sound is good too.,1
4,30-Jul-18,Needs to be smarter,1
5,29-Jul-18,Very nice!  I'm impressed - wish she had more to say though.,1
4,30-Jul-18,"Same specs as regular echo, but easier to use than getting a separate hub for smart lights, etc.",1
4,29-Jul-18,It's extremely useful in simple things like spotify and audible and things like that but sometimes it doesn't answer everything I ask but it's still nice to use.,1
5,30-Jul-18,"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.",1
4,29-Jul-18,"Very cool product. Easy to setup, fun to use and sound quality is much better than I anticipated.",1
5,30-Jul-18,Love this just wish it had a built in hub,1
4,30-Jul-18,My son loves his Echo Dot.,1
5,31-Jul-18,"The echo dot was easy to set up and use. It helps provide music, etc. to small spaces and was just what I was looking for.",1
5,19-Jul-18,In one word: Amazing! Best tech purchase I have ever made as it controls all devices in my house and even my pool!,1
2,29-Jul-18,Too difficult to set up.  It keeps timing out before you can enter the password,0
5,09-Jul-18,Thanks,1
5,30-Jul-18,Love that is can do so much! It sits on my nightstand! Only improvements I would make is having battery back up capability and the screen could be a tad bigger. But overall I’m happy I have it! Would recommend!,1
5,30-Jul-18,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,1
5,26-Jul-18,Love it getting use to it and Alexa is getting use to my voice . Sometimes she doesn't answer but I think it has to do when internet is low or is updating or my voice isn't strong. Over all I haven't had any of the annoying stuff that everyone is complaining about. Thank goodness I didn't listen to those reviews.  And paid attention to the Apple guy .,1
5,30-Jul-18,The entire family loves Alexa Echo. She’s now a part of this family.,1
5,04-Jul-18,"Besides being fun, it also has many practical aspects--a real bonus for those with vision issues!",1
5,26-Jul-18,I love it the coolest thing since sliced bread,1
4,30-Jul-18,"It's not perfect, but I really like this little gizmo. i bought it primarily for 2 purposes. First, so I could set wake-up alarms by individual days, and set the wake-up music individually by the day. Second, I wanted to control a bedroom light by voice, so I could shut it off as I was falling asleep, without having to get out of bed to turn a switch. The Echo Spot, together with a smart plug,has been able to accomplish that. A bonus has been getting Alexa to play music from my Amazon Prime playlists.What's not so great is that sometimes Alexa has a really hard time understanding instructions, and repeating and altering the way you say things can get pretty frustrating. Hopefully the AI gets better in the future, along with added functions.",1
2,30-Jul-18,"Very disappointed when we had to mandatory upgrade and when we final got done with the upload, we had lost our local Charlotte NC channels (which are pur news and weather also)  (CBS, NBC, ABC) and 2 days later was Amazon day with discounts on what we had JUST ordered.",0
1,29-Jul-18,"Always wanted one,till I got one, it's not at all what it's cracked up to be, it's hard to navigate I actually like the dot better.",0
5,23-Jul-18,Love the Spot - Awesome little guy with precise video - I’m saving to buy one for my mom on the east coast - The Spot changes Everything as far as keeping your loved ones connected!!!Well worth every Cent!!,1
4,28-Jul-18,I wish it did more with internet searches.  I do like the feature it has,1
5,31-Jul-18,Streaming is easy.  I love it because I can watch Netflix in my bedroom on my TV and not my Ipad,1
1,30-Jul-18, ,0
5,30-Jul-18,Up dated news,1
5,30-Jul-18,Great sound in a small package—easy to set up and use; fun to own.,1
5,27-May-18,I like that it knows my music type.The least is that it isn't wireless and the volume is not that high.,1
4,30-Jul-18,This is pretty cool,1
5,29-Jul-18,"I have had all good experience, so far with the second generation Echo. There are so many more things to learn, but I have not had the time yet. Right now, I am mostly enjoying the music, weather updates, using the alarm feature, and her personality. I have also purchased some mini smart socket yes. I am very excited to begin using them",1
1,30-Jul-18,I didn't like that almost everytime i asked Alexa a question she would say i dont know that or i havent learned that.,0
5,30-Jul-18,Great to have along with the Echo,1
5,30-Jul-18,So far so good.,1
3,28-Jul-18,I do like the product we bought it on Prime day but this week it was $30 cheaper then Prime day. Still a really cool device. I wish I would have waited.,1
3,30-Jul-18,"I like the Echo, but not sure about the Dot.  I use it a lot for music and Audio books.The sound quality of this smaller Echo is nowhere near the quality of the full sized model.  I haven't decided if I'll keep it or not!",1
5,30-Jul-18,Happy with Echo Plus. Having fun learning what I can do with it.,1
4,27-Jun-18,"Love it. Though, wish it was portable.",1
5,30-Jul-18,I already bought one previously to try out and enjoyed it.  Bought these new ones during the Prime sale.,1
5,30-Jul-18,"Everything about it is great, love the Alexa voice remote",1
5,30-Jul-18,This device is awesome!,1
5,30-Jul-18,Amazing product. Still learnimg all the things it can do,1
5,30-Jul-18,Works well I have several of these recommend to anyone,1
5,29-Jul-18,"I replaced my 1st gen, was concerned about a smaller unit not having the same sound...I was wrong.  If anything it's the same volume, and more clear.  Good product.",1
4,30-Jul-18,"So far pretty happy with the Spot. For me it really is a glorified alarm clock/radio and I know I could have something more cost effective but eh, I like it. I had read the reviews about the scrolling issues and saw the one about how to make that stop and it did. So far so good.",1
5,30-Jul-18,Love it!,1
5,04-Jul-18,"Excellent product, mint condition for a refurbished unit - you would never know it's been refurbished!",1
5,30-Jul-18,"Easy set up, nice looking interface and I like the new slightly larger remote. I have a 1st Gen with the little remote and misplace it all the time. And great price!",1
4,30-Jul-18,"i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.",1
5,02-Jul-18,"saving $10 is always nice and my son always says that buying refurbished means your are getting a new device or product for less, because it has been run through a diagnostics again and everything has been corrected.",1
4,30-Jul-18,Barry,1
5,30-Jul-18,"I had put this off for awhile but finally got around to buying 3 of them for my home. My wife is legally blind and cannot use the computer. This has been a Godsend, 100%. We have the Amazon music for her and now she can listen to music, check the weather, get phone numbers, make calls, etc., etc.. We are still learning but I tell you, this is absolutely amazing. I purchased 4 more for my extended family and the grandchildren absolutely love playing their music on Alexa. With the wifi and direct cable capability, the speaker/stereo options are there for the choosing. This is well worth the money. You won't regret this at all!",1
1,11-Jun-18,"Very bad this device, I don’t know if it’s because is refurbished or what but it activated by itself , nobody is talking and he just activated and start talking. When you talk you have to yell super lauded",0
5,29-Jul-18,easy to use.,1
4,30-Jul-18,"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.",1
5,29-Jul-18,This is a great product!  Set up was easy.  Sound is wonderful.,1
3,03-Jun-18,"I received an Echo as a gift, loved it so much I decided to get the Dot for my bedroom. Both very easy to set up but a big difference in the sound quality. I would still buy it again.",1
1,30-Jul-18,I am having real difficulty working with the Echo Dot. Alexi is not very smart. 9 out of 10 questions I have asked I get the &#34;I'm not sure&#34;  Half the time I am still asking the question and Alexi is saying &#34;I'm not sure&#34;. The music is great and works well for that. All in All so far it's been a very frustrating experience.,0
5,30-Jul-18,Everyone should have an Echo or two or three or more. I bought my Echo through QVC.,1
5,30-Jul-18,Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!,1
5,30-Jul-18,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,1
5,30-Jul-18,The ease in installing,1
5,28-Jul-18,"I’m still learning how to use the Echo, but so far I love it!",1
5,30-Jul-18,Awesome product!,1
5,30-Jul-18,Upgraded from echo to echo show.,1
2,15-Jun-18,The echo dot disconnects from the speaker about 12-20 times a day. Do not buy the refurbished product.  2 stars for effort.,0
5,29-Jul-18,more compact and a bit better than the original,1
5,30-Jul-18,awesome.understands my kids,1
5,24-Jul-18,"Great product, easy to install and use! Not a necessity but a commodity!",1
5,21-Jul-18,"I got this on Prime day and figured I'd see what all the hype is about.  Honestly I didn't really want to like it as personally bugging my house seems kinda weird, but honestly, I love it.  Like it or not this is the way the world is going, so why not.I loved it so much I ordered 2.  I didn't get the Show because it looks like it came from the 1990's and is downright ugly.  I have no interest on watching anything on these devices anyway, so the Spot's screen does not bother me - although it is very clear.Alexa can hear you from pretty much everywhere.  My favorite part about this is having it in our living room where it's hooked up to our bluetooth soundbar - where I can just say play any song I want and it will.  I guess I could just pick up my smartphone to do that, but you don't know how much easier it is to interact with media using your voice rather than navigating through multiple pages.The one thing that I am not a fan of is the home screen cards do not really rotate that much - they also do not rotate when playing music.  I'd love for it to display the weather as I listen to music.The screen is clear and I also really enjoy Alexa being able to tell me how my commute will be - there is a great skill that you can download that will tell you traffic to 5 different places (that you program and name) so you can say alexa give me traffic to my parents - and she will tell you the best route and time you will arrive in current traffic.  I have this programmed for my parents, fiances parents, work, and her work.  So it really works great.The one thing that I actually preferred the Dot over the Spot is the dot will light up different colors when you have package notifications.. I have not seen the Spot really do much for package notifications yet.  The dot it was very easy to tell when something was delivered.  I would recommend Amazon do exactly what they did for the Dot but on the Spot - the Dot lights up colors - why can't the Spot ?  The same way you command alexa and you get that blue ring, just make that ring yellow when a package is updated for delivery.Overall it's a great device that I am looking forward to integrating my home around.  I'm already looking at dash buttons, smart plugs, etc..- and = when I become a home owner instead of renting where I can't tinker with my thermostat I will be purchasing a Nest down the road for HVAC integration.",1
5,29-Jul-18,Great,1
5,30-Jul-18,Does everything I need!,1
5,31-Jul-18,Love my Echo!,1
5,30-Jul-18,"Love it very much, still learning everything that my Echo can do, but am really enjoying the whole process.",1
1,31-May-18,"If you want to listen to music and have it come through several of the Echo/Dot units simultaneously, YOU MUST PAY A MONTHLY FEE. I thought this was Amazon, not Apple??!! I’ve paid for many of these so I could have one in each room, is that not enough of my money??!!??",0
5,16-Jul-18,Looks and works perfect. Glad I got a good deal.,1
5,30-Jul-18,Absolutely love it!!!!,1
5,25-Jul-18,"How can you not like the Echo Plus.  It has the built in Hub and works seamlessly with all my compatible devices.  Amazon makes a great product and I haven't had a single issue with this one or any of the other devices (echo dots, etc.).",1
4,30-Jul-18,"I've only got to use it for a couple of weeks before having to go into the hospital, but had good time with it for the short time I did use it. It was fun trying to use Alexa",1
1,29-Jul-18,"I bought this product hoping that Alexa would be pretty well developed and far enough along, therefore expecting her to be responsive. This $100 piece of crap doesnt even know how to respond to a question that amazon themselves told me to ask her. (Echo buttons manual, see Step 3.) The device has potential given it has a big screen, decent sound but for 200 bucks, I would never reccomend it. Even for the $100 I spent, I feel like I got shorted. Oh and lastly, the device is pretty useless without a prime membership. I linked my personal account to it and the thing was literally a decorated bluetooth speaker. I went on the family account (this one) and got it to work minimal. Oh, and even with our prime membership, you have to have a music pass or something that's an extra 3.99 a month, leaving this item a subscription nightmare, and a overpriced, decorated bluetooth speaker in my eyes. I would give it zero stars if I could.",0
5,19-Jul-18,Love it,1
5,29-Jul-18,I really love my amazon echo. I think the sound quality is great and we have a lot of fun with it. It is really handy for music and to get updates on the weather and sports!,1
4,28-Jul-18,I enjoy the various functions of the device,1
5,30-Jul-18,"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great",1
5,29-Jul-18,The best part of this product is you can control the thermostat and lights for your house.  There isn’t anything I dislike.,1
5,30-Jul-18,"Great price.  I love my echo dot,",1
5,30-Jul-18,Just what I expected....,1
5,30-Jul-18,Love it and Alexa. I am not very savvy but support was very helpful and patient.,1
5,26-Jul-18,"Great product, what they don't tell you is that once you allow a &#34;Drop In&#34;  they can drop in anytime!!!  While they are sleeping, while we are yelling at them, while anything.",1
5,15-Jul-18,I had just said to myself how I desired an assistant when I came across the Spot!  As a Mom of two things can get hectic really quickly trying to manage everyone’s schedules & my own. I just verbally tell Alexa what reminder or timer I need set and Voila!Having my Spot has given me the virtual assistant I so desired without having to actually hire someone.  Not to mention the many other awesome features. I have Alexa synced with my Audible & Kindle & Alex can read a book from my libraries to me.I’m still excited to see what else my Spot can do!Side note: I had wanted to purchase a Show for a while & probably still will down the line however I sooooo love my sleek little Sopt!,1
5,30-Jul-18,Love it! Very helpful,1
4,30-Jul-18,"Love it but the volume could definitely use a boost. If it had better built in speaker's, would definitively be a 5 star. They thought ahead and put  an audio auxiliary input, so I bought a dedicated speaker for the Echo. Proved to be best way to go.",1
5,30-Jul-18,The Echo is wonderful but I'm still learning how to use it. Music requests are somewhat limited.,1
4,29-Jul-18,"The Echo is an amazing device.  Many times it seems very intuitive.  But at other times I ask for something that seems clear and simple and get no result.  Installation was fairly straightforward, but I messed up several times simply because I thought a step was complete when it wasn't.  This actually made me lose ground until I figured that out.  My advice is to be patient; the app will let you know when you can move on to the next step.My biggest issue of the moment is that we have several Echo devices in our home and I would like to use them as intercoms (which I am told can be done).  However, I can't make any of the Echos aware of the others existence.  When I ask Alexa how to do this she answers about instructions how to change her name.  I know this is likely my fault, but I would think the designers would anticipate this and make it easier to find the needed instructions.  A small deal for many device savvy people, but a challenge for me.",1
5,18-Jul-18,"The sound quality is great, it now replace the echo dot in my kitchen.",1
1,06-Jun-18,I cant figure out how to use it.,0
5,29-Jul-18,"My mom bought a few Echo Dots and repeated ask me to take one of hers because it was so great. I told her “no” for two days. When she made me take it, 6 hours later I could not live my life without it!  It’s that amazing, so now we have four large speakers and only the small Echo Dot, that I will be returning to her. I say if you’re going to order an Alexa speaker, go big and get the Echo, otherwise tou’ll Be returning the two Echo Dots you couldn’t live without.",1
5,10-Jun-18,"Works great, can't tell it was refurbished and set up in kids mode.  I have 3 in my home and will be adding more. I love these things.",1
5,30-Jul-18,Perfect!  Fast shipment and packaging.  Worked as intended.,1
5,28-Jul-18,Love these!,1
5,30-Jul-18,"I don't have Alexa, but after getting this I'm feeling inspired to get one. I feel this is a good gateway and or Alexa trial, and liking it so far.  Channels work just fine like Apple TV, just need to check if there is a phone app for a keyboard typing, because spelling things out on keyboard sucks for searching YouTube clips",1
5,30-Jun-18,"Very fast service,  got what I ordered. Thank you",1
5,25-Jul-18,I love my echo plus!!!,1
5,25-Jul-18,No problems whatsoever makes life easy and sounds great.,1
5,22-Jul-18,I love love love it.,1
5,30-Jul-18,It was easy to set up and affordable! Love it!,1
5,29-Jul-18,"Very pleased with the Echo 2nd Generation. It is so nice to have Alexa available for music, weather, news, and probably a lot more we haven’t discovered.",1
5,29-Jul-18,I have had no problems with my Echo Plus. Would purchase it again.,1
5,29-Jul-18,Our family really loves this new Echo,1
5,28-Jul-18,I love it. It is compatible with many of my cameras and it does everything that the echo dot does.,1
5,30-Jul-18,I love it. It plays my sleep sounds immediately when I ask,1
5,06-Jun-18,Works great with my existing smart home setup.,1
5,03-Jun-18,"Refurbish Echo Dot received as new condition, as new packaging, no complaints. Neat little gadget.(Drives my wife nuts!)",1
5,30-Jul-18,😍,1
5,30-Jul-18,Love the Alexa feature. Firestick is working just fine.,1
5,30-Jul-18,LOVE MY ECHO SHOW.  Everything about this device is wonderful,1
5,30-Jul-18,I LOVE ALEXA!! SHE ROCKS!!!,1
5,27-Jul-18,Love the music the stories,1
5,19-Jul-18,"Omg where do I start, I LOVE THIS THING! None bad to say!",1
1,30-Jul-18,"This worked well for about 6 months but then stopped connecting to the internet (wifi) and none of the trouble shooting efforts worked.  Amazon customer service couldn't help further and told me warranty was only 3 months, which was very disappointing, so they weren't willing to replace.",0
5,30-Jul-18,Great addition to our breakfast room kitchen.  Tunes and information instantly available.  Slowly learning more features.,1
5,16-Jul-18,I think it can read my mind,1
5,30-Jul-18,"This was a replacement of an older version of Fire Stick. I haven't tried the Alexa voice part of this remote yet, but it works great.",1
5,30-Jul-18,I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.,1
1,30-Jul-18,Cheap and cheap sound.,0
5,20-Jun-18,Just like new,1
3,30-Jul-18, ,1
4,29-Jul-18,Good hearing range and sound quality. It was a bit complicated to set up and she doesn't quite understand me a lot even when I am speaking slowly and clearly but I love the flash briefing feature and interfacing with my abode home security system.,1
4,30-Jul-18,The ease to use product,1
5,30-Jul-18,Great product - understands my accent!,1
5,07-Jul-18,Love it just as good as a new one,1
2,17-Jul-18,Fairly useless.,0
4,30-Jul-18, ,1
4,30-Jul-18,New device so still learning about it but works great for us when navigating Hulu.,1
3,29-Jul-18,I don't think the &#34;2nd gen&#34; sounds as good as the 1st.  But it does have an aux out... so you could add an external speaker.  But if you are going to do that why wouldn't you just get a dot?  2nd issue is (which isn't unique to this unit but I don't understand why I can't override the default that prevents you from playing a blue tooth speaker while playing through a &#34;group&#34;.  I get there is a delay when using a BT speaker.  But if the other units are not where they can be heard then I should be able to play as a group while using the BT speaker.,1
4,26-Jul-18,It's like a remedial form of the Star Trek computer in your home,1
5,25-Jul-18,I love my echo spot!,1
5,30-Jul-18,availability of movies and nothing I don't like,1
